,Time,Time Code,Country Name,Country Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],Population growth (annual %) [SP.POP.GROW],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]",Population density (people per sq. km of land area) [EN.POP.DNST],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Ter,Happiness Score,develppedEc
109,2015,YR2015,Sri Lanka,LKA,2.063,74.9889512195122,4.699999809265139,3642.20690140201,0.934429493640965,4.5,35.3,27.92362221,334.332642321799,2.55198852780323,,4.271,n
110,2015,YR2015,Sudan,SDN,4.595,64.2294146341464,13.0,1881.8952633339602,2.38246909564974,2.7,10.2,50.04764327,22.127396464646502,2.35651652209906,6.686,4.55,n
111,2015,YR2015,Swaziland,SWZ,3.141,56.91236585365851,26.2000007629395,3923.88968016935,1.82966175303745,6.4,14.7,21.60860671,76.6866860465116,1.8289302740576698,0.0,4.867,n
112,2015,YR2015,Sweden,SWE,1.88,82.55121951219509,7.400000095367429,55395.05870784,1.05745468551674,8.7,15.4,6.241379908,24.058299575262104,1.08189320596401,3.083,7.364,n
113,2015,YR2015,Switzerland,CHE,1.54,83.1975609756098,4.5,76472.45948770651,1.13833715247736,10.4,15.1,12.89019363,209.596011742079,0.6655599897506209,1.349,7.587000000000001,n
114,2015,YR2015,Tajikistan,TJK,3.404,71.0071219512195,10.8000001907349,925.621638386918,2.19867702385895,2.4,4.0,50.02908375,61.595917455651104,1.21938117748174,1.869,4.7860000000000005,n
115,2015,YR2015,Tanzania,TZA,5.079,64.9033170731707,2.09999990463257,835.9709458766299,3.10082930827375,8.1,7.0,23.316119600000004,60.8263230977647,1.13323424072816,3.979,3.781,n
116,2015,YR2015,Thailand,THA,1.4980000000000002,75.068,1.0,5733.921447268171,0.35138333195118704,8.3,16.0,26.35272294,134.388224471021,1.43595910586406,7.279,6.455,n
117,2015,YR2015,Togo,TGO,4.5169999999999995,59.9237073170732,6.199999809265139,544.898506287032,2.5659011215795298,1.9,9.5,32.67724465,136.363338849053,1.7119275328683001,0.0,2.839,n
118,2015,YR2015,Trinidad and Tobago,TTO,1.766,70.58885365853659,3.4000000953674303,16695.9812356453,0.412512994782257,6.6,14.5,14.19016577,265.12514619883,0.87920458765789,,6.167999999999999,n
119,2015,YR2015,Tunisia,TUN,2.2230000000000003,75.4970487804878,15.1999998092651,4264.51603591118,1.15761391416638,1.2,5.5,44.79266297,72.56475926879509,2.2696506576009803,3.697,4.739,n
120,2015,YR2015,Turkey,TUR,2.072,75.40709756097559,10.1999998092651,13898.2990974066,1.5980085335244099,2.4,8.7,36.40911573,101.700131231891,1.84705574379331,5.737,5.332000000000001,n
121,2015,YR2015,Uganda,UGA,5.682,59.508756097561,1.89999997615814,654.136505231189,3.3215556860789297,10.5,7.1,60.30064052,200.20382006782398,1.64939721449303,4.894,3.931,n
122,2015,YR2015,Ukraine,UKR,1.506,71.189512195122,9.10000038146973,2828.8853902997603,-0.260805737589124,11.8,20.1,18.87843558,77.9477304820072,3.9732588265585296,7.2,4.681,n
123,2015,YR2015,United Kingdom,GBR,1.81,81.60487804878049,5.300000190734861,41536.919115035496,0.7949679092952671,12.0,8.5,12.41225066,269.205394122267,1.86660450872726,,6.867000000000001,n
